Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PartsMenu,Firefox 53.0,,2017-05-28 08:42:12,2017-05-28 09:14:53,32m - 40.886s,FAILED
,,,,,,
Test Cases/parts menu/commn feature mapping,Firefox 53.0,,2017-05-28 08:42:12,2017-05-28 08:42:55,42.538s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 08:42:13,2017-05-28 08:42:28,14.729s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 08:42:28,2017-05-28 08:42:31,3.845s,PASSED
setText,Firefox 53.0,,2017-05-28 08:42:31,2017-05-28 08:42:35,4.045s,PASSED
setText,Firefox 53.0,,2017-05-28 08:42:35,2017-05-28 08:42:36,0.709s,PASSED
click,Firefox 53.0,,2017-05-28 08:42:36,2017-05-28 08:42:44,8.252s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 08:42:44,2017-05-28 08:42:45,0.211s,PASSED
click,Firefox 53.0,,2017-05-28 08:42:45,2017-05-28 08:42:45,0.376s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 08:42:45,2017-05-28 08:42:55,9.917s,PASSED
,,,,,,
Test Cases/parts menu/companies parts,Firefox 53.0,,2017-05-28 08:42:55,2017-05-28 08:43:17,21.888s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 08:42:55,2017-05-28 08:43:01,5.707s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 08:43:01,2017-05-28 08:43:02,1.014s,PASSED
setText,Firefox 53.0,,2017-05-28 08:43:02,2017-05-28 08:43:02,0.291s,PASSED
setText,Firefox 53.0,,2017-05-28 08:43:02,2017-05-28 08:43:03,1.010s,PASSED
click,Firefox 53.0,,2017-05-28 08:43:03,2017-05-28 08:43:09,5.583s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 08:43:09,2017-05-28 08:43:09,0.119s,PASSED
click,Firefox 53.0,,2017-05-28 08:43:09,2017-05-28 08:43:09,0.307s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 08:43:09,2017-05-28 08:43:17,7.643s,PASSED
,,,,,,
Test Cases/parts menu/families parts,Firefox 53.0,,2017-05-28 08:43:17,2017-05-28 08:43:36,18.995s,PASSED
