Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Vc menu,Firefox 53.0,,2017-05-28 09:34:48,2017-05-28 09:38:28,3m - 39.990s,FAILED
,,,,,,
Test Cases/Vc menu/companies fund round,Firefox 53.0,,2017-05-28 09:34:48,2017-05-28 09:35:09,21.249s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:34:49,2017-05-28 09:34:54,4.937s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:34:54,2017-05-28 09:34:55,1.250s,PASSED
setText,Firefox 53.0,,2017-05-28 09:34:55,2017-05-28 09:34:55,0.429s,PASSED
setText,Firefox 53.0,,2017-05-28 09:34:55,2017-05-28 09:34:56,0.669s,PASSED
click,Firefox 53.0,,2017-05-28 09:34:56,2017-05-28 09:35:03,7.041s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:35:03,2017-05-28 09:35:03,0.139s,PASSED
click,Firefox 53.0,,2017-05-28 09:35:03,2017-05-28 09:35:03,0.266s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:35:03,2017-05-28 09:35:09,5.989s,PASSED
,,,,,,
Test Cases/Vc menu/fund mapping,Firefox 53.0,,2017-05-28 09:35:09,2017-05-28 09:35:32,22.357s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:35:10,2017-05-28 09:35:14,4.354s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:35:14,2017-05-28 09:35:15,1.370s,PASSED
setText,Firefox 53.0,,2017-05-28 09:35:15,2017-05-28 09:35:16,0.347s,PASSED
setText,Firefox 53.0,,2017-05-28 09:35:16,2017-05-28 09:35:16,0.550s,PASSED
click,Firefox 53.0,,2017-05-28 09:35:16,2017-05-28 09:35:22,6.160s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:35:22,2017-05-28 09:35:22,0.092s,PASSED
mouseOver,Firefox 53.0,,2017-05-28 09:35:22,2017-05-28 09:35:23,0.129s,PASSED
click,Firefox 53.0,,2017-05-28 09:35:23,2017-05-28 09:35:23,0.235s,PASSED
verifyTextPresent,Firefox 53.0,,2017-05-28 09:35:23,2017-05-28 09:35:32,8.900s,PASSED
,,,,,,
Test Cases/Vc menu/fund round mapping,Firefox 53.0,,2017-05-28 09:35:32,2017-05-28 09:35:57,24.837s,PASSED
openBrowser,Firefox 53.0,,2017-05-28 09:35:32,2017-05-28 09:35:36,4.017s,PASSED
navigateToUrl,Firefox 53.0,,2017-05-28 09:35:36,2017-05-28 09:35:38,1.559s,PASSED
setText,Firefox 53.0,,2017-05-28 09:35:38,2017-05-28 09:35:38,0.319s,PASSED
setText,Firefox 53.0,,2017-05-28 09:35:38,2017-05-28 09:35:38,0.429s,PASSED
